"","OCCUPANCY_DATE","LOCATION_ADDRESS","LOCATION_POSTAL_CODE","LOCATION_CITY","LOCATION_PROVINCE","PROGRAM_MODEL","OVERNIGHT_SERVICE_TYPE","PROGRAM_AREA","CAPACITY_TYPE","SECTOR","SERVICE_USER_COUNT","CAPACITY_ACTUAL_BED","CAPACITY_FUNDING_BED","OCCUPIED_BEDS","CAPACITY_ACTUAL_ROOM","CAPACITY_FUNDING_ROOM","OCCUPIED_ROOMS","UNOCCUPIED_BEDS","UNAVAILABLE_BEDS","UNOCCUPIED_ROOMS","UNAVAILABLE_ROOMS","OCCUPANCY_RATE_BEDS","OCCUPANCY_RATE_ROOMS"
"2.184",2022-02-24,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",9,NA,NA,NA,42,50,29,NA,NA,13,8,NA,0.69047619047619
"1.274",2022-02-25,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",78,NA,NA,NA,28,38,13,NA,NA,15,10,NA,0.464285714285714
"4.3",2022-02-26,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",46,23,30,15,NA,NA,NA,8,7,NA,NA,0.652173913043478,NA
"2.238",2022-02-27,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",295,NA,NA,NA,46,47,44,NA,NA,2,1,NA,0.956521739130435
"5.165",2022-02-28,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",14,NA,NA,NA,33,40,12,NA,NA,21,7,NA,0.363636363636364
"1.284",2022-03-01,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",8,NA,NA,NA,28,45,4,NA,NA,24,17,NA,0.142857142857143
"1.104",2022-03-02,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",34,NA,NA,NA,44,44,17,NA,NA,27,0,NA,0.386363636363636
"2.297",2022-03-03,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",3,NA,NA,NA,20,28,9,NA,NA,11,8,NA,0.45
"1.222",2022-03-04,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",32,NA,NA,NA,45,49,29,NA,NA,16,4,NA,0.644444444444444
"5.73",2022-03-05,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",285,NA,NA,NA,22,24,16,NA,NA,6,2,NA,0.727272727272727
"3.61",2022-03-06,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",4,44,48,27,NA,NA,NA,17,4,NA,NA,0.613636363636364,NA
"4.91",2022-03-07,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",73,24,39,20,NA,NA,NA,4,15,NA,NA,0.833333333333333,NA
"5.121",2022-03-08,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",38,NA,NA,NA,45,45,44,NA,NA,1,0,NA,0.977777777777778
"4.125",2022-03-09,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",73,47,47,5,NA,NA,NA,42,0,NA,NA,0.106382978723404,NA
"2.153",2022-03-10,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",13,NA,NA,NA,42,45,29,NA,NA,13,3,NA,0.69047619047619
"1.48",2022-03-11,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",17,NA,NA,NA,49,49,8,NA,NA,41,0,NA,0.163265306122449
"2.136",2022-03-12,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",46,NA,NA,NA,40,40,26,NA,NA,14,0,NA,0.65
"2.48",2022-03-13,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",48,NA,NA,NA,35,49,30,NA,NA,5,14,NA,0.857142857142857
"3.81",2022-03-14,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",38,42,48,32,NA,NA,NA,10,6,NA,NA,0.761904761904762,NA
"5.7",2022-03-15,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",142,NA,NA,NA,48,49,27,NA,NA,21,1,NA,0.5625
"4.218",2022-03-16,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",160,47,49,46,NA,NA,NA,1,2,NA,NA,0.978723404255319,NA
"4.296",2022-03-17,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",4,11,25,6,NA,NA,NA,5,14,NA,NA,0.545454545454545,NA
"3.174",2022-03-18,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",21,44,45,26,NA,NA,NA,18,1,NA,NA,0.590909090909091,NA
"2.67",2022-03-19,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",46,NA,NA,NA,44,46,27,NA,NA,17,2,NA,0.613636363636364
"1.297",2022-03-20,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",26,NA,NA,NA,28,44,22,NA,NA,6,16,NA,0.785714285714286
"5.170",2022-03-21,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",71,NA,NA,NA,9,45,6,NA,NA,3,36,NA,0.666666666666667
"1.244",2022-03-22,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",57,NA,NA,NA,32,45,9,NA,NA,23,13,NA,0.28125
"2.113",2022-03-23,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",18,NA,NA,NA,43,47,29,NA,NA,14,4,NA,0.674418604651163
"4.237",2022-03-24,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",166,48,48,45,NA,NA,NA,3,0,NA,NA,0.9375,NA
"1.214",2022-03-25,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",0,NA,NA,NA,33,34,17,NA,NA,16,1,NA,0.515151515151515
"1.21",2022-03-26,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",67,NA,NA,NA,46,46,45,NA,NA,1,0,NA,0.978260869565217
"2.143",2022-03-27,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",35,NA,NA,NA,37,39,23,NA,NA,14,2,NA,0.621621621621622
"5.183",2022-03-28,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",17,NA,NA,NA,46,49,5,NA,NA,41,3,NA,0.108695652173913
"5.80",2022-03-29,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",1,NA,NA,NA,22,30,22,NA,NA,0,8,NA,1
"5.173",2022-03-30,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",22,NA,NA,NA,1,21,1,NA,NA,0,20,NA,1
"2.46",2022-03-31,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",69,NA,NA,NA,31,47,19,NA,NA,12,16,NA,0.612903225806452
"2.163",2022-04-01,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",59,NA,NA,NA,38,43,21,NA,NA,17,5,NA,0.552631578947368
"4.119",2022-04-02,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",207,38,45,38,NA,NA,NA,0,7,NA,NA,1,NA
"2.140",2022-04-03,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",79,NA,NA,NA,42,49,13,NA,NA,29,7,NA,0.30952380952381
"5.281",2022-04-04,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",24,NA,NA,NA,46,47,45,NA,NA,1,1,NA,0.978260869565217
"1.128",2022-04-05,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",36,NA,NA,NA,38,46,0,NA,NA,38,8,NA,0
"3.165",2022-04-06,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",88,43,46,43,NA,NA,NA,0,3,NA,NA,1,NA
"4.18",2022-04-07,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",266,36,48,24,NA,NA,NA,12,12,NA,NA,0.666666666666667,NA
"3.54",2022-04-08,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",90,47,48,31,NA,NA,NA,16,1,NA,NA,0.659574468085106,NA
"5.193",2022-04-09,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",25,NA,NA,NA,48,50,38,NA,NA,10,2,NA,0.791666666666667
"3.43",2022-04-10,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",32,41,44,29,NA,NA,NA,12,3,NA,NA,0.707317073170732,NA
"3.90",2022-04-11,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",6,45,50,8,NA,NA,NA,37,5,NA,NA,0.177777777777778,NA
"3.99",2022-04-12,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",0,18,47,13,NA,NA,NA,5,29,NA,NA,0.722222222222222,NA
"3.53",2022-04-13,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",0,44,49,40,NA,NA,NA,4,5,NA,NA,0.909090909090909,NA
"3.40",2022-04-14,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",91,24,39,21,NA,NA,NA,3,15,NA,NA,0.875,NA
"5.18",2022-04-15,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",44,NA,NA,NA,32,33,6,NA,NA,26,1,NA,0.1875
"5.227",2022-04-16,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",181,NA,NA,NA,49,50,46,NA,NA,3,1,NA,0.938775510204082
"3.205",2022-04-17,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",20,42,48,29,NA,NA,NA,13,6,NA,NA,0.69047619047619,NA
"1.113",2022-04-18,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",77,NA,NA,NA,41,49,0,NA,NA,41,8,NA,0
"5.58",2022-04-19,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",40,NA,NA,NA,30,39,2,NA,NA,28,9,NA,0.0666666666666667
"4.85",2022-04-20,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",63,37,46,37,NA,NA,NA,0,9,NA,NA,1,NA
"3.60",2022-04-21,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",222,42,45,30,NA,NA,NA,12,3,NA,NA,0.714285714285714,NA
"5.282",2022-04-22,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",28,NA,NA,NA,48,48,47,NA,NA,1,0,NA,0.979166666666667
"5.63",2022-04-23,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",59,NA,NA,NA,34,49,20,NA,NA,14,15,NA,0.588235294117647
"2.50",2022-04-24,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",84,NA,NA,NA,28,47,4,NA,NA,24,19,NA,0.142857142857143
"4.162",2022-04-25,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",94,49,50,10,NA,NA,NA,39,1,NA,NA,0.204081632653061,NA
"1.117",2022-04-26,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",69,NA,NA,NA,22,48,12,NA,NA,10,26,NA,0.545454545454545
"3.95",2022-04-27,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",13,32,34,30,NA,NA,NA,2,2,NA,NA,0.9375,NA
"3.55",2022-04-28,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",77,37,43,28,NA,NA,NA,9,6,NA,NA,0.756756756756757,NA
"5.104",2022-04-29,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",11,NA,NA,NA,35,39,25,NA,NA,10,4,NA,0.714285714285714
"3.219",2022-04-30,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",61,31,44,27,NA,NA,NA,4,13,NA,NA,0.870967741935484,NA
"4.57",2022-05-01,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",28,15,33,10,NA,NA,NA,5,18,NA,NA,0.666666666666667,NA
"4.266",2022-05-02,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",52,45,46,5,NA,NA,NA,40,1,NA,NA,0.111111111111111,NA
"2.260",2022-05-03,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",3,NA,NA,NA,22,28,13,NA,NA,9,6,NA,0.590909090909091
"3.117",2022-05-04,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",52,41,41,15,NA,NA,NA,26,0,NA,NA,0.365853658536585,NA
"2.154",2022-05-05,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",68,NA,NA,NA,24,26,19,NA,NA,5,2,NA,0.791666666666667
"2.49",2022-05-06,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",15,NA,NA,NA,46,48,35,NA,NA,11,2,NA,0.760869565217391
"1.22",2022-05-07,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",4,NA,NA,NA,30,50,20,NA,NA,10,20,NA,0.666666666666667
"3.282",2022-05-08,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",79,38,47,37,NA,NA,NA,1,9,NA,NA,0.973684210526316,NA
"4.11",2022-05-09,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",69,48,50,6,NA,NA,NA,42,2,NA,NA,0.125,NA
"3.231",2022-05-10,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",292,26,45,1,NA,NA,NA,25,19,NA,NA,0.0384615384615385,NA
"2.16",2022-05-11,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",93,NA,NA,NA,12,33,9,NA,NA,3,21,NA,0.75
"4.226",2022-05-12,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",19,23,26,18,NA,NA,NA,5,3,NA,NA,0.782608695652174,NA
"3.51",2022-05-13,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",91,48,48,48,NA,NA,NA,0,0,NA,NA,1,NA
"2.118",2022-05-14,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",74,NA,NA,NA,47,50,36,NA,NA,11,3,NA,0.765957446808511
"3.119",2022-05-15,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",69,43,50,37,NA,NA,NA,6,7,NA,NA,0.86046511627907,NA
"1.101",2022-05-16,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",35,NA,NA,NA,48,49,40,NA,NA,8,1,NA,0.833333333333333
"3.155",2022-05-17,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",279,38,46,38,NA,NA,NA,0,8,NA,NA,1,NA
"4.106",2022-05-18,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",15,43,47,9,NA,NA,NA,34,4,NA,NA,0.209302325581395,NA
"4.129",2022-05-19,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",27,48,48,46,NA,NA,NA,2,0,NA,NA,0.958333333333333,NA
"2.164",2022-05-20,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",66,NA,NA,NA,41,50,31,NA,NA,10,9,NA,0.75609756097561
"4.90",2022-05-21,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",48,47,50,47,NA,NA,NA,0,3,NA,NA,1,NA
"4.82",2022-05-22,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",90,39,50,31,NA,NA,NA,8,11,NA,NA,0.794871794871795,NA
"1.80",2022-05-23,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",85,NA,NA,NA,45,47,8,NA,NA,37,2,NA,0.177777777777778
"4.67",2022-05-24,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",96,43,47,9,NA,NA,NA,34,4,NA,NA,0.209302325581395,NA
"5.274",2022-05-25,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",10,NA,NA,NA,4,43,3,NA,NA,1,39,NA,0.75
"1.43",2022-05-26,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",296,NA,NA,NA,45,48,37,NA,NA,8,3,NA,0.822222222222222
"1.160",2022-05-27,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",40,NA,NA,NA,49,49,1,NA,NA,48,0,NA,0.0204081632653061
"1.155",2022-05-28,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",253,NA,NA,NA,45,47,37,NA,NA,8,2,NA,0.822222222222222
"1.192",2022-05-29,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",70,NA,NA,NA,48,49,14,NA,NA,34,1,NA,0.291666666666667
"3.199",2022-05-30,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",97,31,44,2,NA,NA,NA,29,13,NA,NA,0.0645161290322581,NA
"2.205",2022-05-31,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",1,NA,NA,NA,18,39,11,NA,NA,7,21,NA,0.611111111111111
"1.114",2022-06-01,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",76,NA,NA,NA,39,41,32,NA,NA,7,2,NA,0.82051282051282
"4.43",2022-06-02,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",76,30,48,24,NA,NA,NA,6,18,NA,NA,0.8,NA
"3.113",2022-06-03,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",237,46,48,29,NA,NA,NA,17,2,NA,NA,0.630434782608696,NA
"5.266",2022-06-04,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",36,NA,NA,NA,48,49,10,NA,NA,38,1,NA,0.208333333333333
"4.251",2022-06-05,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",18,47,47,34,NA,NA,NA,13,0,NA,NA,0.723404255319149,NA
"5.263",2022-06-06,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",74,NA,NA,NA,48,50,46,NA,NA,2,2,NA,0.958333333333333
"2.171",2022-06-07,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",33,NA,NA,NA,29,50,19,NA,NA,10,21,NA,0.655172413793103
"3.28",2022-06-08,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",92,28,37,4,NA,NA,NA,24,9,NA,NA,0.142857142857143,NA
"3.70",2022-06-09,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",72,47,49,25,NA,NA,NA,22,2,NA,NA,0.531914893617021,NA
"3.130",2022-06-10,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",73,21,30,20,NA,NA,NA,1,9,NA,NA,0.952380952380952,NA
"1.120",2022-06-11,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",21,NA,NA,NA,38,47,26,NA,NA,12,9,NA,0.684210526315789
"2.266",2022-06-12,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",77,NA,NA,NA,49,49,41,NA,NA,8,0,NA,0.836734693877551
"4.190",2022-06-13,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",61,46,46,43,NA,NA,NA,3,0,NA,NA,0.934782608695652,NA
"4.137",2022-06-14,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",22,43,48,28,NA,NA,NA,15,5,NA,NA,0.651162790697674,NA
"5.61",2022-06-15,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",96,NA,NA,NA,45,50,33,NA,NA,12,5,NA,0.733333333333333
"3.137",2022-06-16,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",79,43,43,32,NA,NA,NA,11,0,NA,NA,0.744186046511628,NA
"1.49",2022-06-17,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",264,NA,NA,NA,36,43,22,NA,NA,14,7,NA,0.611111111111111
"3.76",2022-06-18,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",69,45,49,19,NA,NA,NA,26,4,NA,NA,0.422222222222222,NA
